datetime,atr
2020-01-02,1.8657
2020-01-03,1.9835
2020-01-06,2.0663
2020-01-07,2.0119
2020-01-08,2.0754
2020-01-09,2.0790
2020-01-10,2.0810
2020-01-13,2.0823
2020-01-14,2.0521
2020-01-15,2.0227
2020-01-16,2.0601
2020-01-17,2.0015
2020-01-21,1.9491
2020-01-22,1.9285
2020-01-23,1.9746
2020-01-24,2.1779
2020-01-27,2.4293
2020-01-28,2.5455
2020-01-29,2.5122
2020-01-30,2.6238
2020-01-31,2.8993
2020-02-03,2.9873
2020-02-04,3.1662
2020-02-05,3.2085
2020-02-06,3.0719
2020-02-07,3.0117
2020-02-10,3.0337
2020-02-11,2.9728
2020-02-12,2.9197
2020-02-13,2.8817
2020-02-14,2.7777
2020-02-18,2.7432
2020-02-19,2.7038
2020-02-20,2.8410
2020-02-21,2.9291
2020-02-24,3.5405
2020-02-25,4.1482
2020-02-26,4.3454
2020-02-27,4.9709
2020-02-28,5.4384
2020-03-02,6.0290
2020-03-03,6.6821
2020-03-04,7.0614
2020-03-05,7.4129
2020-03-06,7.6980
2020-03-09,8.7473
2020-03-10,9.1230
2020-03-11,9.6396
2020-03-12,10.7281
2020-03-13,11.5184
2020-03-16,12.8244
2020-03-17,13.1806
2020-03-18,13.8896
2020-03-19,13.9072
2020-03-20,13.9841
2020-03-23,13.7506
2020-03-24,14.1858
2020-03-25,14.2850
2020-03-26,14.3375
2020-03-27,13.9936
2020-03-30,13.5979
2020-03-31,13.1031
2020-04-01,13.0953
2020-04-02,12.7021
2020-04-03,12.3376
2020-04-06,12.7183
2020-04-07,12.4914
2020-04-08,12.3276
2020-04-09,11.9276
2020-04-13,11.5306
2020-04-14,11.3363
2020-04-15,11.0948
2020-04-16,10.5885
2020-04-17,10.3817
2020-04-20,10.0047
2020-04-21,9.9314
2020-04-22,9.7555
2020-04-23,9.4065
2020-04-24,9.0831
2020-04-27,8.7895
2020-04-28,8.5637
2020-04-29,8.5652
2020-04-30,8.2704
2020-05-01,8.2922
2020-05-04,8.0196
2020-05-05,7.8274
2020-05-06,7.5819
2020-05-07,7.4110
2020-05-08,7.2348
2020-05-11,6.9941
2020-05-12,7.0119
2020-05-13,7.0626
2020-05-14,7.3703
2020-05-15,7.1783
2020-05-18,7.3672
2020-05-19,7.1265
2020-05-20,7.0128
2020-05-21,6.7786
2020-05-22,6.4560
2020-05-26,6.4472
2020-05-27,6.4357
2020-05-28,6.2842
2020-05-29,6.2033
2020-06-01,5.9713
2020-06-02,5.7478
2020-06-03,5.6817
2020-06-04,5.5386
2020-06-05,5.8071
2020-06-08,5.6651
2020-06-09,5.5231
2020-06-10,5.4081
2020-06-11,6.2944
2020-06-12,6.5471
2020-06-15,6.8528
2020-06-16,6.9390
2020-06-17,6.6799
2020-06-18,6.3898
2020-06-19,6.4618
2020-06-22,6.2896
2020-06-23,6.1016
2020-06-24,6.3355
2020-06-25,6.3111
2020-06-26,6.3941
2020-06-29,6.3197
2020-06-30,6.2977
2020-07-01,6.0855
2020-07-02,5.9995
2020-07-06,5.9378
2020-07-07,5.7930
2020-07-08,5.6216
2020-07-09,5.6522
2020-07-10,5.5931
2020-07-13,5.7711
2020-07-14,5.8812
2020-07-15,5.7385
2020-07-16,5.5144
2020-07-17,5.3110
2020-07-20,5.2352
2020-07-21,5.0625
2020-07-22,4.8827
2020-07-23,4.9209
2020-07-24,4.8194
2020-07-27,4.6526
2020-07-28,4.5080
2020-07-29,4.4930
2020-07-30,4.5409
2020-07-31,4.5733
2020-08-03,4.4553
2020-08-04,4.2852
2020-08-05,4.1359
2020-08-06,4.0647
2020-08-07,3.9480
2020-08-10,3.8555
2020-08-11,3.9523
2020-08-12,4.0389
2020-08-13,3.9134
2020-08-14,3.7550
2020-08-17,3.5878
2020-08-18,3.4991
2020-08-19,3.4504
2020-08-20,3.4450
2020-08-21,3.3450
2020-08-24,3.3450
2020-08-25,3.2366
2020-08-26,3.2572
2020-08-27,3.2514
2020-08-28,3.1921
2020-08-31,3.1149
2020-09-01,3.1260
2020-09-02,3.3167
2020-09-03,4.0968
2020-09-04,4.6766
2020-09-08,4.9995
2020-09-09,5.2650
2020-09-10,5.5405
2020-09-11,5.5466
2020-09-14,5.5759
2020-09-15,5.4172
2020-09-16,5.3359
2020-09-17,5.3471
2020-09-18,5.4734
2020-09-21,5.6853
2020-09-22,5.6198
2020-09-23,5.8335
2020-09-24,5.8897
2020-09-25,6.0056
2020-09-28,5.9977
2020-09-29,5.7821
2020-09-30,5.7692
2020-10-01,5.6173
2020-10-02,5.6115
2020-10-05,5.6243
2020-10-06,5.7490
2020-10-07,5.7912
2020-10-08,5.5864
2020-10-09,5.4286
2020-10-12,5.5254
2020-10-13,5.3589
2020-10-14,5.2998
2020-10-15,5.2518
2020-10-16,5.1233
2020-10-19,5.3176
2020-10-20,5.2670
2020-10-21,5.3155
2020-10-22,5.2460
2020-10-23,5.0646
2020-10-26,5.3895
2020-10-27,5.1485
2020-10-28,5.5998
2020-10-29,5.7611
2020-10-30,5.8483
2020-11-02,5.8240
2020-11-03,5.9520
2020-11-04,6.3318
2020-11-05,6.4641
2020-11-06,6.2633
2020-11-09,6.7770
2020-11-10,6.6085
2020-11-11,6.3744
2020-11-12,6.2880
2020-11-13,6.2234
2020-11-16,6.0952
2020-11-17,5.9457
2020-11-18,5.8765
2020-11-19,5.7291
2020-11-20,5.4909
2020-11-23,5.3660
2020-11-24,5.4118
2020-11-25,5.1429
2020-11-27,4.8837
2020-11-30,4.8390
2020-12-01,4.8732
2020-12-02,4.7116
2020-12-03,4.5569
2020-12-04,4.4449
2020-12-07,4.2714
2020-12-08,4.1765
2020-12-09,4.2229
2020-12-10,4.1530
2020-12-11,4.0916
2020-12-14,4.1596
2020-12-15,4.1957
2020-12-16,4.0509
2020-12-17,3.9163
2020-12-18,3.9169
2020-12-21,4.7523
2020-12-22,4.5691
2020-12-23,4.4058
